

[2020-11-04 21:56:43] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:57:21] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:59:08] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:00:05] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:02:06] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:02:52] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:03:15] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:03:19] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:03:56] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:04:18] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:05:04] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:05:10] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:05:32] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:06:25] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:06:37] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:06:51] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:06:56] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:07:38] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:07:48] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:09:19] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:09:20] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:09:21] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:09:27] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:09:50] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:10:47] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:10:58] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:11:49] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:11:54] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:12:18] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:13:13] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:13:25] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:13:25] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:13:42] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:15:06] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:15:10] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:15:11] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:15:21] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:15:28] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:16:25] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:16:32] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:16:46] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:17:18] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:17:21] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:18:48] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:18:49] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:19:06] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:19:25] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:19:42] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:19:59] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:20:27] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:20:39] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:20:54] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:21:27] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:22:10] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:23:06] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:23:19] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:23:50] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:23:54] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:23:56] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:24:37] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:24:50] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:25:00] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:25:25] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:26:23] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:26:57] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:27:36] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:27:58] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:28:14] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:29:11] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:29:26] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:30:47] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:30:55] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:31:14] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:31:53] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:31:58] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:32:09] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:32:11] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:32:20] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:35:05] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:35:08] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:35:10] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:36:18] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:36:52] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:37:46] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:38:35] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:39:37] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:42:07] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:44:47] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:47:35] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:49:51] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:51:30] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 22:53:35] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
